全体通し番号,教科,教科での番号,試験の回数,試験の番号,大項目,中項目,問題,選択肢1,選択肢2,選択肢3,選択肢4,答え,解説
224,解剖学,94,第31回,問題23,11. 感覚器系,A. 視覚器,眼球について正しいのはどれか。,1. 視神経乳頭では視細胞の密度が高い。,2. 錐体細胞は主に明暗の識別に行く。,3. 房水はシュレム管に吸収される。,4. 副交感神経は瞳孔拡大筋を支配する。,3,"【解説】 房水は毛様体で発生される。後眼房から前眼房に流れ、隅角にあるシュレム管（角膜脈）から吸収される。視神経乳頭には視細胞が存在しない。視細胞には、明暗の識別を行う桿体細胞と、色彩を識別する錐体細胞がある。明暗の識別は、主に桿体細胞によって行われる。瞳孔拡大筋は交感神経支配である。"
225,解剖学,95,第28回,問題26,11. 感覚器系,B. 平衡聴覚器,内耳の前庭でみられるのはどれか。,1. 螺旋器,2. 蝸牛管,3. 平衡斑,4. 膨大部稜,3,"【解説】 内耳の前庭には卵形嚢と球形嚢があり、平衡斑はこれらの嚢内部にある。平衡斑は耳石（石灰）を持ち、垂直加速度を受容する。半規管は内耳の蝸牛にある管である。鼓膜で振動となった音の信号は、鼓膜と耳小骨を介して蝸牛へ伝わる。ラセン器は蝸牛管の内部にあり、振動を感知して音の受容を行う。膨大部稜は半規管にあり、回転加速度を受容する。"
226,解剖学,96,第32回,問題23,11. 感覚器系,B. 平衡聴覚器,味覚について正しいのはどれか。,1. 糸状乳頭には味蕾がある。,2. 舌の後ろ1/3の味覚は舌下神経が伝える。,3. 舌の前2/3の味覚は舌咽神経が伝える。,4. 孤束核で中継される。,4,"【解説】 味覚は孤束核で中継される。孤束核は延髄後部にある神経核で、ここに顔面神経、舌咽神経および迷走神経によって味覚で受容した情報が運ばれる。糸状乳頭は角化した上皮によってつくられる。糸状乳頭は食物の移動に役立つ味蕾をもたない。舌の前2/3の味覚を伝えるのは顔面神経、舌の後1/3を伝えるのは舌咽神経である。"
227,解剖学,97,第27回,問題26,11. 感覚器系,E. 皮膚,皮膚について正しいのはどれか。,1. 表皮は多列円柱上皮でできている。,2. 真皮は中胚葉に由来する。,3. 毛幹は皮膚内部に埋まっている。,4. エクリン汗腺は足底にはない。,2,"【解説】 2：真皮は支持組織に分類され、中胚葉由来構造する。表皮は外胚葉由来である。1：表皮は重層扁平上皮でできており、物理的刺激に強い特性を持つ。多列円柱上皮は気管などの呼吸器の表皮や、卵管上皮でみられる。3：毛幹は、毛のうち体表から表出している部分を指す。皮膚に埋没する部分は毛根である。4：エクリン汗腺（小汗腺）は手掌や足底で発達する汗腺で、体温調節にかかわる。"
228,解剖学,98,第30回,問題23,11. 感覚器系,E. 皮膚,皮膚について正しいのはどれか。,1. 毛幹の下端を毛球という。,2. 乳腺は皮膚腺の一種である。,3. 表皮は多列円柱上皮である。,4. メラノサイトは真皮にある。,2,"【解説】 乳腺は皮膚腺の一種で、その他の皮膚腺には汗腺と脂腺がある。毛幹は毛が体表に出ているところを指す。毛幹の下端は、毛根と毛球の境界にあたる。表皮は物理的刺激に強い重層扁平上皮で作られる。ほとんどのメラノサイトは表皮にある。小児期に蒙古斑を形成するメラノサイトは例外的に真皮に存在するが、他の選択肢を考えるとこれは誤りとなる。"
229,生理学,1,第29回,問題24,1. 生理学の基礎,B. 細胞の構造と働き,不要な物質を分解処理する細胞小器官はどれか。,1. 粗面小胞体,2. ミトコンドリア,3. リソソーム,4. ゴルジ装置,3,"【解説】 3：リソソームは膜で包まれた袋状の小顆粒であり、加水分解酵素を多く含む。不要な物質を分解処理する。1：粗面小胞体のリボソームは蛋白質合成の場である。2：ミトコンドリアは酸素を消費して三大栄養素を酸化し、ATPを大量に合成する。4：ゴルジ装置は粗面小胞体から出た蛋白質の濃縮や細胞外への分泌などを行う。"
230,生理学,2,第30回,問題24,1. 生理学の基礎,B. 細胞の構造と働き,DNAについて誤っているのはどれか。,1. 遺伝情報をもつ。,2. 塩基は3種類である。,3. 二重らせん構造である。,4. 染色体に含まれる。,2,"【解説】 DNAはリン酸、糖、及び塩基からなるヌクレオチドが鎖状につながり、2本の鎖がお互いの塩基同士で結合して、3：二重らせん構造を形成している。2：塩基はアデニン、グアニン、チミン、シトシンの4種類である。1：個体の形質に関する全ての遺伝情報を持っている。4：DNAは細胞分裂の際に凝集して染色体を形成する。"
231,生理学,3,第32回,問題24,1. 生理学の基礎,B. 細胞の構造と働き,核酸について正しいのはどれか。,1. DNAにはアミノ酸が含まれる。,2. DNAは3種類の塩基で構成される。,3. RNAは蛋白質合成に必要である。,4. RNAは凝集して染色体を形成する。,3,"【解説】 1：DNA、RNAはリン酸、糖、塩基からなるヌクレオチドが鎖状に結合したものである。2：DNAはアデニン、グアニン、チミン、シトシンの4種類の塩基を持つ。RNAではチミンの代わりにウラシルであり、他はDNAと同じである。3：RNAは蛋白質合成に必要である。4：細胞分裂の際に凝集して染色体を形成するのはDNAである。"
232,生理学,4,第26回,問題27,1. 生理学の基礎,C. 物質代謝,解糖について正しいのはどれか。,1. 酸素を必要とする。,2. 細胞質内で行われる。,3. クエン酸が生成される。,4. 電子伝達系に比べATP産生能力が高い。,2,"【解説】 糖であるグルコース（ブドウ糖）を材料にアデノシン三リン酸（ATP）を産生するための初めの過程を解糖（解糖系）といい、諸酵素によりグルコースをピルビン酸に分解する。2：細胞内の細胞質で、1：酸素を用いずに行われる。このピルビン酸がミトコンドリア内に輸送され、アセチルCoAに変換されて、クエン酸回路を介した電子伝達系にて酸素を用いて大量のATPが産生される。1molのグルコースから解糖系にて2molのATP、クエン酸回路と電子伝達系にて"
233,生理学,5,第30回,問題25,3. 循環,C. 血管,血管について正しいのはどれか。,1. 動脈は静脈より血管抵抗が小さい。,2. 動脈は静脈より多くの血液を貯留する。,3. 静脈弁は血液の逆流を防ぐ。,4. 歩行時には静脈還流量が低下する。,3,"【解説】 3：中等大の静脈には所々に静脈弁があり、血液の逆流を防いでいる。1、2：静脈は血管壁が薄く血管抵抗が小さいため、伸縮性に富み、血液によって容易に血管内腔が広がり、多くの血液を貯留している。4：歩行時は、骨格筋の収縮・弛緩によるポンプ作用と静脈弁の逆流防止作用によって、心臓に戻る静脈還流量が増加する。"
234,生理学,6,第25回,問題28,3. 循環,C. 血管,減少すると血圧が上昇するのはどれか。,1. 血管断面性,2. 血中カテコールアミン,3. 血液の粘性,4. 循環血液量,1,"【解説】 血管内血圧は、心拍出量と総末梢抵抗の積で表される。したがって、これら2つの要因に影響を与えるいくつかの因子によって、血圧が変動する。例えば、末梢血管収縮による1：血管面積の減少（血管抵抗が増大）、心拍数増加、1回拍出量の増加、3：血液粘性の上昇、4：循環血液量と総末梢抵抗が増加・上昇するため、結果として血圧が上昇する。2：血中カテコールアミンは、心拍数増加、末梢血管収縮などの作用を持つ。"
235,生理学,7,第27回,問題28,3. 循環,C. 血管,血圧を下げる要因はどれか。,1. 血液量の増加,2. 血液粘性の上昇,3. 血管平滑筋の弛緩,4. 血管壁弾性の低下,3,"【解説】 血圧は血管内の圧力であり、いくつかの因子によって変動する。血圧低下の要因としては、血液量の減少、血液粘性の低下、血管拡張による血管抵抗の低下、心拍数減少、心臓の1回拍出量の減少などがある。血管は血管平滑筋の収縮・弛緩によって血管径を変えることができるので、3：血管平滑筋の弛緩によって、血管が拡張し、血管抵抗が低下することで血圧が低下する。問題6の解説も参照。"
236,生理学,8,第26回,問題28,3. 循環,D. 循環調節,血管拡張作用を持つのはどれか。,1. セロトニン,2. エンドセリン,3. 二酸化炭素,4. アンジオテンシンⅡ,3,"【解説】 局所で産生される3：二酸化炭素（CO2）、乳酸、アデノシンや、ブラジキニン、ヒスタミン、酸化窒素（NO）などの血管拡張物質は血管拡張作用を持つ。血液凝固の際に血小板から放出される1：セロトニンや、血管内皮細胞で産生される2：エンドセリンは血管収縮作用を持つ。血管収縮作用を持つホルモン性調節因子としてはバソプレシン、ノルアドレナリン、レニンーアンジオテンシン系によって生成されるアンジオテンシンⅡがある。"
237,生理学,9,第34回,問題26,4. 呼吸,B. 換気とガス交換,肺活量を表す計算式はどれか。,1. 1回換気量＋予備吸気量＋予備呼気量,2. 1回換気量＋予備吸気量＋残気量,3. 1回換気量＋予備呼気量＋残気量,4. 1回換気量＋残気量,1,"【解説】 肺活量は、最大吸気位から吐き出せる最大の空気量のことである。これは、安静時の呼気吸気量である「1回換気量」、安静吸気位より最大に吸気できる量である「予備吸気量」、安静呼気位より最大に呼気できる量である「予備呼気量」の総和に相当する。残気量は、最大呼気後に肺内に残る空気量である。"
238,生理学,10,第33回,問題26,4. 呼吸,B. 換気とガス交換,動脈血における酸素飽和度の正常値はどれか。,1. 約67%,2. 約77%,3. 約87%,4. 約97%,4,"【解説】 赤血球中の総ヘモグロビンのうち、酸素化ヘモグロビンが占める割合を酸素飽和度といい、動脈血中では96〜99%の範囲（東洋療法学校協会編の教科書では約97%）が正常とされる。"
239,生理学,11,第27回,問題29,4. 呼吸,C. 呼吸運動と呼吸調節,安静吸息時に起こる現象はどれか。,1. 胸郭の縮小,2. 腹腔の収縮,3. 胸腔内圧の上昇,4. 外肋間筋の収縮,4,"【解説】 安静吸息時は、主吸気筋である横隔膜や4：外肋間筋の収縮→胸郭の拡張→胸腔内圧（胸膜腔内圧）の低下（陰圧がさらに上昇）→肺の拡張→肺胞内圧の低下（一過性に陰圧化）によって肺に空気が流入する。安静呼息時は、主吸気筋の弛緩→1：胸郭の縮小（元に戻る）→3：胸腔内圧の上昇（元の陰圧に戻る）→肺の縮小（元に戻る）→肺胞内圧の上昇（一過性に陽圧化）によって肺から空気が流出する。努力性呼息時は、さらに2：腹筋や内肋間筋などの収縮による胸郭の更なる縮小が加わる。"
240,生理学,12,第25回,問題29,4. 呼吸,C. 呼吸運動と呼吸調節,呼息時に起こるのはどれか。,1. 肋骨が挙上する。,2. 外肋間筋が収縮する。,3. 横隔膜が水平になる。,4. 胸腔内圧が上昇する。,4,"【解説】 呼吸は、呼吸筋の収縮・弛緩に伴う胸腔内圧（胸膜腔内圧）と肺胞内圧の変動によって生じる。安静時の呼息では、主吸気筋である横隔膜と外肋間筋が弛緩することで胸郭が縮小する（息によって拡張していた胸郭が、元の大きさに戻る）。吸息時に収縮して水平となっていた3：横隔膜が弛緩することでドーム状に盛り上がり、肋骨が外肋間筋の弛緩により降下していく1、2：胸郭が縮小し、4：胸腔内圧が上昇し、勝手が縮小し、肺胞内圧が一過性に陽圧となることで空気が気道から流出する。積極的（努力的）な呼息では、内肋間筋や腹筋の収縮により、胸郭の縮小が促進される。"
241,生理学,13,第28回,問題29,4. 呼吸,C. 呼吸運動と呼吸調節,呼吸運動を促進するのはどれか。,1. 体温の低下,2. 血中水素イオン濃度の減少,3. 血中酸素分圧の増加,4. 大動脈小体の興奮,4,"【解説】 頸動脈小体と4：大動脈小体は、主に血中の酸素（O2）分圧の低下によって、反応は弱いながら二酸化炭素（CO2）分圧の上昇や血中のpHの低下（血中水素イオン（H+）濃度の増加）によって興奮し、この情報が呼吸中枢に伝えられて呼吸運動が促進する。体温の上昇は呼吸運動を促進させ、1：体温の低下は呼吸運動を抑制する。"
242,生理学,14,第32回,問題26,4. 呼吸,C. 呼吸運動と呼吸調節,呼吸運動を促進するのはどれか。,1. 体液の浸透圧上昇,2. 体液のpH低下,3. 動脈血酸素分圧の上昇,4. 動脈血二酸化炭素分圧の低下,2,"【解説】 頸動脈小体と大動脈小体は、主に動脈血O2分圧低下によって刺激され、反応は弱いもののCO2分圧上昇および2：体液のpH低下によっても刺激され、呼吸中枢を介して呼吸運動が促進される。1：体液浸透圧上昇は、呼吸中枢を抑制するとの研究報告がある（ただし、東洋療法学校協会の教科書にはそれに関する記載がない）。"
243,生理学,15,第26回,問題29,4. 呼吸,C. 呼吸運動と呼吸調節,異常呼吸で、深い呼吸が規則正しく続くのはどれか。,1. 起坐呼吸,2. ビオー呼吸,3. クスマウル呼吸,4. チェーン・ストークス呼吸,3,"【解説】 3：クスマウル呼吸とは、ゆっくりとした深い呼吸が規則正しく続く過時呼吸である。糖尿病や尿毒症の代謝性アシドーシスでみられる。2：ビオー呼吸では、無呼吸期から突然過時呼吸が始まり無呼吸に戻る。脳膜炎、脳腫瘍などでみられる。4：チェーン・ストークス呼吸は無呼吸の態と、浅い呼吸が始まり次第に深くなって再び浅くなる呼吸の状態が、繰り返して現れる呼吸型である。心不全、尿毒症、脳疾患、臨終の際などに現れることがある。1：起坐呼吸とは、呼吸困難が仰臥位で増強し、起坐位で軽減する臨床的徴候である。主にうっ血性心不全の特徴とされているが、喘息や慢性気道閉塞でも起こり得る。"
244,生理学,16,第27回,問題35,5. 消化器系の構造と働き,A. 消化器系の構造と働き,脂肪の消化に関与しないのはどれか。,1. 胆汁分泌,2. 乳化作用,3. リパーゼ分泌,4. アミラーゼ分泌,4,"【解説】 脂肪（脂質）のうち、食物中の単純脂質の大部分は中性脂肪（トリグリセリド）であり、脂肪の消化とはこの中性脂肪の消化のことをほぼ意味している。中性脂肪は、水に不溶のため、まず1：胆汁に分泌される胆汁酸によって2：乳化作用を受け、液体中で分散した状態となり、膵液に分泌された消化酵素である3：リパーゼによって、モノグリセリドと脂肪酸に分解される。その後、脂肪酸とモノグリセリドは胆汁酸とともに水溶性の脂質集合体（ミセル）を形成して小腸粘膜の微絨毛表面まで運ばれる。ここで、脂肪酸とモノグリセリドはミセルから離れて小腸上皮細胞内に吸収される。4：アミラーゼは唾液と膵液に分泌される糖質の消化酵素で、デンプンをマルトース（麦芽糖）に分解する。"
245,生理学,17,第30回,問題26,5. 消化器系の構造と働き,A. 消化器系の構造と働き,消化液と消化酵素の組合せで正しいのはどれか。,1. 唾液 ——— アミラーゼ,2. 胃液 ——— リパーゼ,3. 膵液 ——— マルターゼ,4. 腸液 ——— ペプシン,1,"【解説】 1：唾液と膵液は、デンプンをマルトースに分解するアミラーゼを各々含む。2：胃液は、蛋白質をペプチドに分解するペプシンを含む。中性脂肪を脂肪酸とモノグリセリドに分解するリパーゼは膵液に含まれる。3：マルトースをグルコース2分子に分解するマルターゼは、小腸上皮細胞の刷子縁上に存在する。4：ペプシンは胃液に含まれる。"
246,生理学,18,第28回,問題30,5. 消化器系の構造と働き,B. 消化と吸収,嚥下について正しいのはどれか。,1. 嚥下中枢は脊髄にある。,2. 口腔相では舌を使って食塊を喉頭に送る。,3. 咽頭相では咽頭から鼻腔への出口は閉鎖される。,4. 食道相では蠕動運動によって食塊が輸送される。,3,"【解説】 1：嚥下中枢は延髄に存在する。2：口腔相では随意的によって食塊が咽頭腔に送られる。3：咽頭相では反射的に軟口蓋の挙上によって咽頭と口腔の通路が、舌根の押し上げによって咽頭と鼻腔の通路が閉鎖する。その結果、咽頭から気管の通路が閉鎖する。その結果、咽頭から食道の通路が開き、食塊は食道に送られる。4：食道相では蠕動運動によって食塊が胃に送られる。"
247,生理学,19,第25回,問題30,5. 消化器系の構造と働き,B. 消化と吸収,ガストリンの胃に対する作用部位はどれか。,1. 壁細胞,2. 主細胞,3. 粘液細胞,4. 平滑筋細胞,1又は2又は4,"【解説】 ガストリンは、胃内容物のアミノ酸やペプチド、胃内容物による胃壁の物理的伸展、あるいは迷走神経を介する反射によって、胃前庭部に存在するG細胞から産生・分泌される。このホルモンを大量投与すると多様な効果を示すが、本来の生理的作用は、胃底腺の壁細胞からの塩酸（胃酸）分泌促進である。その他に胃粘膜の生長、胃運動の促進などがある。そのため、作用部位は1：壁細胞、2：主細胞、4：平滑筋細胞となる。"
248,生理学,20,第29回,問題25,5. 消化器系の構造と働き,B. 消化と吸収,胃液分泌を促進するのはどれか。,1. 食物による口腔粘膜の刺激,2. セクレチン分泌の増加,3. 交感神経活動の増加,4. 酸による十二指腸粘膜の刺激,1,"【解説】 食物によって味覚、嗅覚や口腔粘膜が刺激されると、延髄と迷走神経を介して胃液分泌が促進する。この調節が頭相である。次の胃相では、食物による胃壁の伸展や、蛋白質分解産物によるガストリンの分泌によって胃液分泌が促進する。十二指腸に胃の内容物が入ると腸相が始まり、酸によるセクレチンなどの分泌によって胃液分泌が抑制される。"
249,生理学,21,第31回,問題25,5. 消化器系の構造と働き,B. 消化と吸収,消化管からの吸収について正しいのはどれか。,1. グルコースは胃で吸収される。,2. モノグリセリドは小腸で吸収される。,3. アミノ酸は結腸で吸収される。,4. 水分の約50%は直腸で吸収される。,2,"【解説】 三大栄養素の吸収は小腸で行われる。糖質は単糖類（1：グルコース、フルクトース、ガラクトース）として、蛋白質は3：アミノ酸として、脂質である中性脂肪（トリグリセリド）は2：モノグリセリドと脂肪酸として吸収される。4：水分の約83%は小腸で、約16%は大腸で吸収され、残り約1%程度が糞便中に排泄される。"
250,生理学,22,第33回,問題27,5. 消化器系の構造と働き,B. 消化と吸収,大腸について正しいのはどれか。,1. 多数の細菌が常在する。,2. 消化管内水分の約80%が吸収される。,3. 大蠕動は1時間に数回起こる。,4. 蛋白質分解酵素を分泌する。,1,"【解説】 1：大腸には大腸菌などの多数の細菌が常在していて、食物繊維などの未消化の腸内容物を分解し、酪酸・酢酸やメタンなどのガスを発生する。2：消化管内水分の約83%は小腸、約16%が大腸にて吸収される。3：大蠕動は1日に数回起こり内容物を一気に直腸へ送る運動である。4：大腸液はアルカリ性で消化酵素が分泌されない。"
251,生理学,23,第34回,問題24,5. 消化器系の構造と働き,C. 肝臓,肝臓について正しいのはどれか。,1. クッバー細胞はビタミンAを貯蔵する。,2. 肝細胞はアルブミンを生成する。,3. 肝臓の熱産生は腎臓より少ない。,4. 肝臓の血液は門脈から流出する。,2,"【解説】 2：血清蛋白質であるアルブミンは肝細胞で生成される。1：クッバー細胞は指洞の内面を覆う常在のマクロファージであり、細菌などの異物を貪食する。ビタミンAを貯蔵するのは、肝星細胞である。3：安静時の熱産生は肝臓で約20%、腎臓で約7%である。4：血液は門脈と固有肝動脈から肝臓へ流入し、肝静脈から流出する。"
252,生理学,24,第27回,問題30,6. 代謝,A. 栄養素とエネルギー代謝,基礎代謝量について正しいのはどれか。,1. 夏は冬より高い。,2. 加齢によって低下する。,3. 同一年齢では女性の方が男性より高い。,4. 日本人の成人男性では約2600kcal/日である。,2,"【解説】 覚醒状態で生命を維持するために必要な最小限の代謝量を、基礎代謝量という。基礎代謝量は季節によって体温を維持するために変動し、1：夏の時期は低く、冬の時期は高くなる。年齢では、体表面積当たりで表すと幼年期で高く、2：加齢によって低下し、老年期で低くなる。性別では、3：同年齢では男性の方が女性よりも高く、4：日本人の成人男性では約1,500kcal/日、成人女性では約1,200kcal/日である。"
253,生理学,25,第27回,問題32,6. 代謝,B. 三大栄養素,血糖について誤っているのはどれか。,1. エネルギー源となる。,2. グルカゴンの作用により減少する。,3. グリコーゲンとして蓄えられる。,4. 食欲に関係する。,2,"【解説】 血糖は血液中のグルコースのことであり、必要に応じて各細胞に取り込まれ、1：エネルギー源として消費される。小腸で吸収されたグルコースは、血液中に入り血糖となるが、その量が過剰な場合は主に肝細胞や骨格筋細胞に取り込まれ、多糖類である3：グリコーゲンとして貯蔵される。血糖調節ホルモンであるグルカゴンやアドレナリンによって血糖値は増加する。血糖の減少は、視床下部に存在する摂食中枢や満腹中枢で感受されて4：食欲を起こす。"
254,生理学,26,第25回,問題31,6. 代謝,B. 三大栄養素,糖新生の材料になるのはどれか。,1. アミノ酸,2. マルトース,3. ガラクトース,4. グリコーゲン,1,"【解説】 1：アミノ酸、乳酸、ピルビン酸、グリセリン（グリセロール）などの糖質以外の物質からグルコース（ブドウ糖）を生成することを糖新生といい、主に肝臓で行われる。2：マルトースはグルコース2分子が結合した二糖類であり、3：ガラクトースは単糖類である。4：グリコーゲンはグルコースが多数結合した多糖類である。"
255,生理学,27,第34回,問題27,6. 代謝,B. 三大栄養素,糖質について正しいのはどれか。,1. セルロースは単糖類である。,2. 血液中のガラクトースの濃度を血糖値という。,3. ショ糖は炭素と窒素から構成される。,4. グリコーゲンは肝臓で貯蔵される。,4,"【解説】 4：ブドウ糖（グルコース）が多数結合して合成されるグリコーゲンは、肝臓や骨格筋で合成・貯蔵される。1：食物繊維の一種であるセルロースも、グルコースが多数結合した多糖類である。2：血糖値は血中グルコース濃度のことである。3：ショ糖（スクロース）に限らず、糖質は炭素、水素、酸素からなる有機化合物である。"
256,生理学,28,第26回,問題31,6. 代謝,B. 三大栄養素,コレステロールについて正しいのはどれか。,1. 単純脂質である。,2. 細胞膜に含まれる。,3. 脾臓で合成される。,4. 皮下脂肪の主成分である。,2,"【解説】 1：単純脂質は、アルコールと脂肪酸が結合した物質であり、食物中の単純脂質の大部分はトリグリセリド（中性脂肪）である。コレステロールはステロイドの一種であり、誘導脂質に分類される。2、3：コレステロールは食物からも摂取されるが、生体内では主に肝臓にてアセチルCoAから産生され、細胞膜の成分として含まれるほか、胆汁酸やステロイドホルモンの前駆物質となる。4：皮下脂肪の主成分は中性脂肪である。"
257,生理学,29,第31回,問題27,6. 代謝,B. 三大栄養素,脂質について正しいのはどれか。,1. コレステロールはコルチゾールの前駆物質である。,2. リン脂質はヘモグロビンの構成成分である。,3. 中性脂肪は1分子のグリセロールと2分子の脂肪酸からなる。,4. 脂肪酸の多くは水溶性物質である。,1,"【解説】 1：コレステロールはステロイドホルモンと胆汁酸の前駆物質であり、コルチゾールはステロイドホルモンである。2：リン脂質は細胞膜の脂質二重層を形成する。3：中性脂肪（トリグリセリド）は、1分子のグリセロールに3分子の脂肪酸が結合したものである。4：脂肪酸は脂溶性（疎水性）の性質を持つ。"
258,生理学,30,第28回,問題31,6. 代謝,B. 三大栄養素,蛋白質について正しいのはどれか。,1. 細胞膜には含まれない。,2. β酸化により代謝される。,3. 4種類のアミノ酸からなる。,4. 細胞の主要な構成成分である。,4,"【解説】 4：蛋白質は細胞の主要な構成成分であり、細胞構造の維持や変化などに関与する細胞骨格、物質代謝に必要な酵素、ホルモンの受容体など多様な働きを持つ。1：細胞膜の脂質二重層中にモザイク状に多種多様の蛋白質が分布している。2：β酸化は脂肪酸をアセチルCoAにまで分解する代謝経路である。3：生体の蛋白質を構成するアミノ酸は基本的に20種類である。"
259,生理学,31,第29回,問題26,6. 代謝,C. ビタミン、無機質、水,ビタミンについて正しいのはどれか。,1. ビタミンAはエネルギー源となる。,2. ビタミンB12の摂取不足で脚気となる。,3. ビタミンCはコラーゲン生成に関与する。,4. ビタミンKは骨の構成成分となる。,3,"【解説】 ビタミンは物質代謝の補酵素として働くが、エネルギー源とはならない。1：ビタミンAの摂取不足で夜盲症などが生じる。2：ビタミンB12の不足で巨赤芽球性貧血（悪性貧血）が生じる。脚気はビタミンB1の摂取不足で生じる。3：ビタミンCはコラーゲン生成に必要であり、不足で壊血病になる。4：ビタミンKはいくつかの血液凝固因子生成に必須である。"
260,生理学,32,第28回,問題32,7. 体温,A. 体温,体温について正しいのはどれか。,1. 口腔温は直腸温より高い。,2. 体幹の皮膚温は四肢の皮膚温より低い。,3. 摂食により体温は上昇する。,4. 基礎代謝亢進により体温は低下する。,3,"【解説】 3：摂食後数時間は、消化管運動亢進や吸収した栄養素の代謝亢進によって体温が上昇する。これを特異動的作用（食事誘発性熱産生）という。1：直腸温に対して口腔温は約0.5℃低く、腋窩温は約0.8℃低い。2：一般に、皮膚温は体幹部から四肢に向かって低温となる。産熱は各細胞の代謝によって生じるため、4：基礎代謝亢進によって体温は上昇する。"
261,生理学,33,第26回,問題32,7. 体温,B. 体熱の産生と放熱,安静時の熱産生が最も多いのはどれか。,1. 皮膚,2. 腎臓,3. 肝臓,4. 内臓脂肪,3,"【解説】 体内で産生される熱は、各細胞における栄養素の代謝によって生じる。安静時は熱の大部分が内臓系にて産生されており、特に躯幹部にある3：肝臓、2：腎臓、消化器系の熱産生量が多い。そのなかでも3：肝臓の熱産生量が最も多い。1：皮膚や骨は代謝が盛んではないため、熱産生量は少ない。脂肪組織には、いわゆる皮下脂肪や4：内臓脂肪などの白色脂肪組織と、肩甲骨の間と腋窩にある褐色脂肪組織とがある。白色脂肪組織は熱産生能力が低く、逆に褐色脂肪組織は熱産生能力が極めて高い。ただし、この褐色脂肪組織はヒト新生児では多いが、成人では退縮して少なくなっている。"
262,生理学,34,第30回,問題27,7. 体温,C. 体温調節,体温について正しいのはどれか。,1. 体温調節中枢は延髄にある。,2. 細菌感染では産熱は抑制される。,3. セットポイントの下昇により発熱が起こる。,4. 核心温度の変化は温度感受性ニューロンにより感受される。,4,"【解説】 1：体温調節中枢は視床下部にある。2、3：細菌感染などによりセットポイントが上昇した結果、産熱亢進、放熱抑制によって発熱が生じる。4：核心温度は、視床下部前部から視床前野にかけて存在する温度感受性ニューロンが感じている。これには温度上昇に反応する温ニューロンと温度下降に反応する冷ニューロンがある。"
263,生理学,35,第32回,問題27,7. 体温,C. 体温調節,放熱を促すのはどれか。,1. 立毛筋の収縮,2. 甲状腺ホルモンの分泌,3. 皮膚血管の拡張,4. 骨格筋の収縮,3,"【解説】 外気温上昇時には、3：皮膚血管拡張と発汗によって放熱を促進させて体温を調節する。外気温低下時は、皮膚血管収縮および1：立毛筋収縮によって放熱を抑制させ、4：骨格筋の屈筋と伸筋群の非目的収縮によるふるえや、2：甲状腺ホルモンなどの分泌による内臓や骨格筋の代謝亢進で産熱を促進させて体温を調節する。"
264,生理学,36,第28回,問題33,8. 腎臓の働き,A. 腎臓の働き,糸球体でろ過されるのはどれか。,1. グルコース,2. アルブミン,3. 赤血球,4. 白血球,1,"【解説】 糸球体の毛細血管をろ過されるのは、血漿成分中の低分子（水、Na+・Cl-・HCO3-などのイオン、尿素、1：グルコース、アミノ酸、クレアチニンなど）であり、高分子である2：アルブミンやグロブリンなどの血漿蛋白質や脂質などはろ過されない。3：赤血球や4：白血球などの血球は、血漿蛋白質よりもはるかに大きくろ過されない。"
265,生理学,37,第26回,問題33,8. 腎臓の働き,A. 腎臓の働き,糸球体ろ過量を増加させるのはどれか。,1. 糸球体血圧の上昇,2. 血漿膠質浸透圧の上昇,3. ボーマン嚢内圧の上昇,4. 尿管内圧の上昇,1,"【解説】 糸球体ろ過の原動力は糸球体血圧（約45mmHg）である。しかし、糸球体の毛細血管内には、糸球体血圧と反対方向にかかる血漿膠質浸透圧（約25mmHg）とボーマン嚢内圧（約10mmHg）があるため、ろ過の際に働く有効ろ過圧は、有効ろ過圧＝血漿膠質浸透圧－ボーマン嚢内圧＝45－25－10＝10mmHgとなる。この有効ろ過圧によって糸球体ろ過量が変化するため、1：糸球体血圧の上昇によって、糸球体ろ過量が増加し、2：血漿膠質浸透圧や3：ボーマン嚢内圧の上昇は糸球体ろ過量を減少させる。4：尿路閉塞による尿管内圧の上昇は、ボーマン嚢から続く尿細管の内圧上昇をきたすため、有効ろ過圧が低下し、糸球体ろ過量が減少する。"
266,生理学,38,第31回,問題28,8. 腎臓の働き,A. 腎臓の働き,糸球体ろ過量を増加させるのはどれか。,1. 腎血流量の低下,2. 血中アルブミン濃度の上昇,3. 糸球体血圧の上昇,4. 尿管内圧の上昇,3,"【解説】 実際に分子を押し出す力である糸球体の有効ろ過圧は、「糸球体血圧－血漿膠質浸透圧－ボーマン嚢内圧」によって決まる。したがって、3：糸球体血圧の上昇によって有効ろ過圧が上昇し糸球体ろ過量が増加する。逆に、1：腎血流量低下による糸球体血圧低下、2：血中アルブミン濃度の上昇による血漿膠質浸透圧上昇、4：尿管内圧の上昇によるボーマン嚢内圧上昇は、有効ろ過圧を低下させ糸球体ろ過量を減少させる。"
